"locus_tag","gene","function.","logFC","logCPM","PValue","q.value"
"BW25113_0001","thrL","thr operon leader peptide",-0.297350882720418,4.94766659435197,0.270195777885243,0.707874111755526
"BW25113_0002","thrA","Bifunctional aspartokinase/homoserine dehydrogenase 1",-0.164860347615379,9.19776588154482,0.334375811509108,0.766028397059969
"BW25113_0003","thrB","homoserine kinase",0.228747697549875,7.65345791422499,0.210563649913816,0.632557309958729
"BW25113_0004","thrC","L-threonine synthase",0.135938055867305,8.18432424812985,0.484650855761865,0.859007769536385
"BW25113_0005","yaaX","DUF2502 family putative periplasmic protein",-0.219325808117916,5.82159846377043,0.331365242918965,0.766028397059969
"BW25113_0006","yaaA","peroxide resistance protein, lowers intracellular iron",-0.203402516754408,7.68676237267246,0.299378034137618,0.740780564420718
"BW25113_0007","yaaJ","putative transporter",-0.0894354822735632,8.43565836876103,0.624478079859316,0.911064154594844
"BW25113_0008","talB","transaldolase B",0.0388534443272598,8.50506264348266,0.829216228043691,0.961905643458567
"BW25113_0009","mog","molybdochelatase incorporating molybdenum into molybdopterin",0.0788665605847766,7.48760271002392,0.677060329030625,0.923009162275509
"BW25113_0010","satP","succinate-acetate transporter",-0.118245527079224,7.34590102856191,0.538108223732646,0.879006565571192
"BW25113_0011","yaaW","UPF0174 family protein",-0.384436654987083,7.19697057983883,0.0480937560446222,0.304745743278009
"BW25113_0013","yaaI","UPF0412 family protein",-0.592404664902015,7.10472173659559,0.00238236793322431,0.0376207786620579
"BW25113_0014","dnaK","chaperone Hsp70, with co-chaperone DnaJ",-0.119565971629292,4.529896944503,0.762989475689915,0.948751416452664
"BW25113_0015","dnaJ","chaperone Hsp40, DnaK co-chaperone",-0.722394962833866,7.84783663266762,8.90393298089662e-05,0.0024974598032431
"BW25113_0016","insL1","IS186 transposase",NA,NA,NA,NA
"BW25113_0018","mokC","regulatory protein for HokC, overlaps CDS of hokC",-0.0815827347739091,7.72200807114966,0.677380326749839,0.923009162275509
"BW25113_0019","nhaA","sodium-proton antiporter",-0.294231833570569,6.96913265693745,0.143153607182589,0.542582741845591
"BW25113_0020","nhaR","transcriptional activator of nhaA",-0.272568388407368,8.00318355946656,0.146137954448408,0.547812462890246
"BW25113_0021","insB1","IS1 transposase B",NA,NA,NA,NA
"BW25113_0022","insA","IS1 repressor TnpA",NA,NA,NA,NA
"BW25113_0023","rpsT","30S ribosomal subunit protein S20",NA,NA,NA,NA
"BW25113_0024","yaaY","uncharacterized protein",-0.624313565741906,5.29352699642588,0.0144257810244893,0.141471412443097
"BW25113_0025","ribF","bifunctional riboflavin kinase/FAD synthetase",0.354982679151252,2.15557188810089,0.510007303916349,0.8729031257967
"BW25113_0026","ileS","isoleucyl-tRNA synthetase",NA,NA,NA,NA
"BW25113_0027","lspA","prolipoprotein signal peptidase (signal peptidase II)",NA,NA,NA,NA
"BW25113_0028","fkpB","FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)",-0.351868915868706,6.14285712334245,0.167103397308956,0.578462880733862
"BW25113_0029","ispH","4-hydroxy-3-methylbut-2-enyl diphosphate reductase, 4Fe-4S protein",2.37995165186099,2.17010040439264,4.14495501722578e-05,0.00138545121450772
"BW25113_0030","rihC","ribonucleoside hydrolase 3",-0.33420042839008,7.32320879174983,0.0880156305207007,0.423298194266823
"BW25113_0031","dapB","dihydrodipicolinate reductase",NA,NA,NA,NA
"BW25113_0032","carA","carbamoyl phosphate synthetase small subunit, glutamine amidotransferase",-0.577936388721993,7.05659757243765,0.00919867308094434,0.105116460762586
"BW25113_0033","carB","carbamoyl-phosphate synthase large subunit",0.0300461326832349,8.59486355629294,0.874668901805347,0.973673420754677
"BW25113_0034","caiF","cai operon transcriptional activator",0.2604521948872,7.83671367881844,0.194661769174748,0.614956152679413
"BW25113_0035","caiE","stimulator of CaiD and CaiB enzyme activities",-0.218298830010275,6.72487363427078,0.270632918209336,0.708094347643604
"BW25113_0036","caiD","carnitinyl-CoA dehydratase",0.275072396878625,7.61790484302333,0.143344220398301,0.542582741845591
"BW25113_0037","caiC","putative crotonobetaine/carnitine-CoA ligase",0.143148525720437,8.59361238281788,0.410157010527496,0.816401574137382
"BW25113_0038","caiB","crotonobetainyl CoA:carnitine CoA transferase",0.0308374733130554,8.05878823345662,0.875473052880897,0.973687252288859
"BW25113_0039","caiA","crotonobetaine reductase subunit II, FAD-binding",-0.271958748977893,7.91216564503126,0.133595950871612,0.522273357634036
"BW25113_0040","caiT","putative transporter",-0.0780431740462083,9.24869866746323,0.646765214484559,0.917496008882054
"BW25113_0041","fixA","anaerobic carnitine reduction putative electron transfer flavoprotein subunit",0.28970385663087,7.72692622984421,0.145202124959587,0.546346832282275
"BW25113_0042","fixB","putative electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like protein",0.0812473745560318,7.52903854391067,0.672530670160326,0.922595714104963
"BW25113_0043","fixC","putative oxidoreductase",-0.230247305700627,7.09957616053127,0.237033768153617,0.663926287754301
"BW25113_0044","fixX","putative 4Fe-4S ferredoxin-type protein",0.537548830159797,5.85773694042124,0.054167677081885,0.321876374482134
"BW25113_0046","kefF","potassium-efflux system ancillary protein for KefC, glutathione-regulated; quinone oxidoreductase, FMN-dependent",-0.0173470080410329,7.28570258544736,0.930224332255478,0.982161942415852
"BW25113_0047","kefC","potassium:proton antiporter",-0.0828527634342583,8.33206749998846,0.737891152811984,0.944350301870458
"BW25113_0048","folA","dihydrofolate reductase",NA,NA,NA,NA
"BW25113_0049","apaH","diadenosine tetraphosphatase",0.316157737768371,5.9089398256427,0.235022281068947,0.662455635535872
"BW25113_0050","apaG","protein associated with Co2+ and Mg2+ efflux",0.167876025117452,6.5715110469842,0.442694954582267,0.829149325508612
"BW25113_0051","rsmA","16S rRNA m(6)A1518, m(6)A1519 dimethyltransferase, SAM-dependent",0.423958395294846,7.21426932546181,0.0511695748013827,0.313824410593801
