locus_tag	gene_name	ncrna	start	end	strand	read_count	ins_index	gene_length	ins_count	fcn
BW25113_0001	thrL	0	190	255	1	107	0.283333333333333	66	17	"thr operon leader peptide"
BW25113_0002	thrA	0	337	2799	1	1765	0.147045557059089	2463	326	"Bifunctional aspartokinase/homoserine dehydrogenase 1"
BW25113_0003	thrB	0	2801	3733	1	551	0.146428571428571	933	123	"homoserine kinase"
BW25113_0004	thrC	0	3734	5020	1	803	0.127696289905091	1287	148	"L-threonine synthase"
BW25113_0005	yaaX	0	5234	5530	1	161	0.145522388059701	297	39	"DUF2502 family putative periplasmic protein"
BW25113_0006	yaaA	0	5683	6459	-1	609	0.127142857142857	777	89	"peroxide resistance protein, lowers intracellular iron"
BW25113_0007	yaaJ	0	6529	7959	-1	1002	0.137422360248447	1431	177	"putative transporter"
BW25113_0008	talB	0	8238	9191	1	1015	0.176949941792782	954	152	"transaldolase B"
BW25113_0009	mog	0	9306	9893	1	522	0.169811320754717	588	90	"molybdochelatase incorporating molybdenum into molybdopterin"
BW25113_0010	satP	0	9928	10494	-1	500	0.13307240704501	567	68	"succinate-acetate transporter"
BW25113_0011	yaaW	0	10643	11356	-1	446	0.11353032659409	714	73	"UPF0174 family protein"
BW25113_0013	yaaI	0	11382	11786	-1	474	0.16986301369863	405	62	"UPF0412 family protein"
BW25113_0014	dnaK	0	12163	14079	1	85	0.00984936268829664	1917	17	"chaperone Hsp70, with co-chaperone DnaJ"
BW25113_0015	dnaJ	0	14168	15298	1	812	0.141453831041257	1131	144	"chaperone Hsp40, DnaK co-chaperone"
BW25113_0016	insL1	0	15445	16557	1	0	0	1113	0	"IS186 transposase"
BW25113_0018	mokC	0	16751	16960	-1	591	0.264550264550265	210	50	"regulatory protein for HokC, overlaps CDS of hokC"
BW25113_4412	hokC	0	16751	16903	-1	182	0.181159420289855	153	25	"toxic membrane protein, small"
BW25113_4413	sokC	0	16952	17006	1	220	0.28	55	14	
BW25113_0019	nhaA	0	17489	18655	1	387	0.101807802093245	1167	107	"sodium-proton antiporter"
BW25113_0020	nhaR	0	18715	19620	1	744	0.165441176470588	906	135	"transcriptional activator of nhaA"
BW25113_0021	insB1	0	19811	20314	-1	0	0	504	0	"IS1 transposase B"
BW25113_0022	insA	0	20233	20508	-1	0	0	276	0	"IS1 repressor TnpA"
BW25113_0023	rpsT	0	20815	21078	-1	0	0	264	0	"30S ribosomal subunit protein S20"
BW25113_0024	yaaY	0	21181	21399	1	141	0.0858585858585859	219	17	"uncharacterized protein"
BW25113_0025	ribF	0	21407	22348	1	12	0.00707547169811321	942	6	"bifunctional riboflavin kinase/FAD synthetase"
BW25113_0026	ileS	0	22391	25207	1	1	0.000394321766561514	2817	1	"isoleucyl-tRNA synthetase"
BW25113_0027	lspA	0	25207	25701	1	0	0	495	0	"prolipoprotein signal peptidase (signal peptidase II)"
BW25113_0028	fkpB	0	25826	26275	1	232	0.11358024691358	450	46	"FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)"
BW25113_0029	ispH	0	26277	27227	1	1	0.00116822429906542	951	1	"4-hydroxy-3-methylbut-2-enyl diphosphate reductase, 4Fe-4S protein"
BW25113_0030	rihC	0	27293	28207	1	519	0.116504854368932	915	96	"ribonucleoside hydrolase 3"
BW25113_0031	dapB	0	28374	29195	1	3	0.00135135135135135	822	1	"dihydrodipicolinate reductase"
BW25113_0032	carA	0	29651	30799	1	442	0.103381642512077	1149	107	"carbamoyl phosphate synthetase small subunit, glutamine amidotransferase"
BW25113_0033	carB	0	30817	34038	1	1208	0.103103448275862	3222	299	"carbamoyl-phosphate synthase large subunit"
BW25113_0034	caiF	0	34300	34695	1	651	0.249299719887955	396	89	"cai operon transcriptional activator"
BW25113_0035	caiE	0	34781	35371	-1	324	0.142857142857143	591	76	"stimulator of CaiD and CaiB enzyme activities"
BW25113_0036	caiD	0	35377	36162	-1	545	0.139830508474576	786	99	"carnitinyl-CoA dehydratase"
BW25113_0037	caiC	0	36271	37824	-1	1094	0.130092923516798	1554	182	"putative crotonobetaine/carnitine-CoA ligase"
BW25113_0038	caiB	0	37898	39115	-1	772	0.126709206927985	1218	139	"crotonobetainyl CoA:carnitine CoA transferase"
BW25113_0039	caiA	0	39244	40386	-1	730	0.123420796890185	1143	127	"crotonobetaine reductase subunit II, FAD-binding"
BW25113_0040	caiT	0	40417	41931	-1	1801	0.183284457478006	1515	250	"putative transporter"
BW25113_0041	fixA	0	42403	43173	1	515	0.138328530259366	771	96	"anaerobic carnitine reduction putative electron transfer flavoprotein subunit"
BW25113_0042	fixB	0	43188	44129	1	553	0.120283018867925	942	102	"putative electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like protein"
BW25113_0043	fixC	0	44180	45466	1	422	0.0828300258843831	1287	96	"putative oxidoreductase"
BW25113_0044	fixX	0	45463	45750	1	138	0.130769230769231	288	34	"putative 4Fe-4S ferredoxin-type protein"
BW25113_0045	yaaU	0	45807	47138	1	756	0.097581317764804	1332	117	"putative transporter"
BW25113_0046	kefF	0	47246	47776	1	474	0.133891213389121	531	64	"potassium-efflux system ancillary protein for KefC, glutathione-regulated; quinone oxidoreductase, FMN-dependent"
BW25113_0047	kefC	0	47769	49631	1	948	0.103160405485987	1863	173	"potassium:proton antiporter"
BW25113_0048	folA	0	49823	50302	1	0	0	480	0	"dihydrofolate reductase"
BW25113_0049	apaH	0	50380	51222	-1	145	0.0764163372859025	843	58	"diadenosine tetraphosphatase"
BW25113_0050	apaG	0	51229	51606	-1	294	0.108504398826979	378	37	"protein associated with Co2+ and Mg2+ efflux"
BW25113_0051	rsmA	0	51609	52430	-1	414	0.104054054054054	822	77	"16S rRNA m(6)A1518, m(6)A1519 dimethyltransferase, SAM-dependent"
BW25113_0052	pdxA	0	52427	53416	-1	21	0.00561167227833894	990	5	"4-hydroxy-L-threonine phosphate dehydrogenase, NAD-dependent"
BW25113_0053	surA	0	53416	54702	-1	71	0.0310612597066437	1287	36	"peptidyl-prolyl cis-trans isomerase (PPIase)"
BW25113_0054	lptD	0	54755	57109	-1	7	0.00141509433962264	2355	3	"LPS assembly OM complex LptDE, beta-barrel component"
BW25113_0055	djlA	0	57364	58179	1	915	0.16734693877551	816	123	"membrane-anchored DnaK co-chaperone, DNA-binding protein"
BW25113_4659	yabP	0	58474	59279	1	9222	0.31129476584022	806	226	pseudogene
BW25113_0058	rluA	0	59687	60346	-1	574	0.158249158249158	660	94	"dual specificity 23S rRNA pseudouridine(746), tRNA pseudouridine(32) synthase, SAM-dependent"
BW25113_0059	rapA	0	60358	63264	-1	2185	0.144058081773023	2907	377	"RNA polymerase remodeling/recycling factor ATPase; RNA polymerase-associated, ATP-dependent RNA translocase"
BW25113_0060	polB	0	63429	65780	-1	1854	0.147378365611715	2352	312	"DNA polymerase II"
BW25113_0061	araD	0	65855	66532	-1	405	0.127659574468085	678	78	pseudogene
BW25113_0064	araC	0	66874	67752	1	562	0.118686868686869	879	94	"ara regulon transcriptional activator; autorepressor"
BW25113_0065	yabI	0	67838	68602	1	402	0.103047895500726	765	71	"DedA family inner membrane protein"
BW25113_0066	thiQ	0	68716	69414	-1	372	0.115873015873016	699	73	"thiamine, thiamine pyrophosphate ABC transporter ATPase; ThiBPQ thiamine, thiamine pyrophosphate importer"
BW25113_0067	thiP	0	69398	71008	-1	1184	0.157241379310345	1611	228	"thiamine, thiamine pyrophosphate ABC transporter permease; ThiBPQ thiamine, thiamine pyrophosphate importer"
BW25113_0068	thiB	0	70984	71967	-1	558	0.115124153498871	984	102	"thiamine-, thiamine pyrophosphate-, thiamine monophosphate-binding ABC transporter periplasmic protein; ThiBPQ thiamine, thiamine pyrophosphate importer"
BW25113_0069	sgrR	0	72131	73786	-1	1114	0.114688128772636	1656	171	"transcriptional DNA-binding transcriptional activator of sgrS sRNA"
BW25113_4577	sgrS	0	73854	74080	1	145	0.160975609756098	227	33	
BW25113_4662	sgrT	0	73875	74006	1	97	0.168067226890756	132	20	"inhibitor of glucose uptake"
BW25113_0070	setA	0	74108	75286	1	1221	0.187382297551789	1179	199	"broad specificity sugar efflux system"
BW25113_0071	leuD	0	75335	75940	-1	622	0.135531135531136	606	74	"3-isopropylmalate dehydratase small subunit"
BW25113_0072	leuC	0	75951	77351	-1	956	0.117367168913561	1401	148	"3-isopropylmalate dehydratase large subunit"
BW25113_0073	leuB	0	77354	78445	-1	695	0.125127161749746	1092	123	"3-isopropylmalate dehydrogenase, NAD(+)-dependent"
BW25113_0074	leuA	0	78445	80016	-1	1063	0.142756183745583	1572	202	"2-isopropylmalate synthase"
BW25113_0075	leuL	0	80109	80195	-1	1299	0.582278481012658	87	46	"leu operon leader peptide"
BW25113_0076	leuO	0	80855	81799	1	1745	0.212690951821387	945	181	"global transcription factor"
BW25113_0077	ilvI	0	82117	83841	1	2083	0.182871860914359	1725	284	"acetolactate synthase 3 large subunit"
BW25113_0078	ilvH	0	83844	84335	1	630	0.148984198645598	492	66	"acetolactate synthase 3, small subunit, valine-sensitive"
BW25113_0080	cra	0	84515	85519	1	278	0.10939226519337	1005	99	"transcriptional repressor-activator for carbon metabolism"
BW25113_0081	mraZ	0	86121	86579	1	228	0.070048309178744	459	29	"RsmH methytransferase inhibitor"
BW25113_0082	rsmH	0	86581	87522	1	186	0.0471698113207547	942	40	"16S rRNA m(4)C1402 methyltransferase, SAM-dependent"
BW25113_0083	ftsL	0	87519	87884	1	5	0.0121212121212121	366	4	"membrane bound cell division protein at septum containing leucine zipper motif"
BW25113_0084	ftsI	0	87900	89666	1	0	0	1767	0	"transpeptidase involved in septal peptidoglycan synthesis (penicillin-binding protein 3)"
BW25113_0085	murE	0	89653	91140	1	0	0	1488	0	"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso-diaminopimelate ligase"
BW25113_0086	murF	0	91137	92495	1	0	0	1359	0	"UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D-alanine ligase"
BW25113_0087	mraY	0	92489	93571	1	0	0	1083	0	"phospho-N-acetylmuramoyl-pentapeptide transferase"
BW25113_0088	murD	0	93574	94890	1	7	0.00168634064080944	1317	2	"UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase"
BW25113_0089	ftsW	0	94890	96134	1	10	0.00624442462087422	1245	7	"lipid II flippase; integral membrane protein involved in stabilizing FstZ ring during cell division"
BW25113_0090	murG	0	96131	97198	1	1	0.00103950103950104	1068	1	"N-acetylglucosaminyl transferase"
BW25113_0091	murC	0	97252	98727	1	0	0	1476	0	"UDP-N-acetylmuramate:L-alanine ligase"
BW25113_0092	ddlB	0	98720	99640	1	283	0.060313630880579	921	50	"D-alanine:D-alanine ligase"
BW25113_0093	ftsQ	0	99642	100472	1	28	0.00133689839572193	831	1	"divisome assembly protein, membrane anchored protein involved in growth of wall at septum"
BW25113_0094	ftsA	0	100469	101731	1	0	0	1263	0	"ATP-binding cell division protein involved in recruitment of FtsK to Z ring"
BW25113_0095	ftsZ	0	101792	102943	1	0	0	1152	0	"GTP-binding tubulin-like cell division protein"
BW25113_0096	lpxC	0	103044	103961	1	0	0	918	0	"UDP-3-O-acyl N-acetylglucosamine deacetylase"
BW25113_0097	secM	0	104192	104704	1	42	0.0238095238095238	513	11	"regulator of secA translation"
BW25113_0098	secA	0	104766	107471	1	0	0	2706	0	"preprotein translocase subunit, ATPase"
BW25113_0099	mutT	0	107531	107920	1	191	0.094017094017094	390	33	"nucleoside triphosphate pyrophosphohydrolase, marked preference for dGTP"
BW25113_0101	yacG	0	108136	108333	-1	31	0.0614525139664804	198	11	"DNA gyrase inhibitor"
BW25113_0102	zapD	0	108343	109086	-1	226	0.082089552238806	744	55	"FtsZ stabilizer"
BW25113_0103	coaE	0	109086	109706	-1	9	0.00178890876565295	621	1	"dephospho-CoA kinase"
BW25113_0104	guaC	0	109931	110974	1	493	0.103191489361702	1044	97	"GMP reductase"
BW25113_0106	hofC	0	111009	112211	-1	608	0.119113573407202	1203	129	"assembly protein in type IV pilin biogenesis, transmembrane protein"
BW25113_0107	hofB	0	112201	113586	-1	744	0.12900641025641	1386	161	"T2SE secretion family protein; P-loop ATPase superfamily protein"
BW25113_0108	ppdD	0	113596	114036	-1	215	0.146095717884131	441	58	"putative prepilin peptidase-dependent pilin"
BW25113_0109	nadC	0	114239	115132	-1	353	0.105590062111801	894	85	"quinolinate phosphoribosyltransferase"
BW25113_0110	ampD	0	115220	115771	1	296	0.114688128772636	552	57	"1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; murein amidase"
BW25113_0111	ampE	0	115768	116622	1	585	0.142857142857143	855	110	"ampicillin resistance inner membrane protein; putative signaling protein in beta-lactamase regulation"
BW25113_0112	aroP	0	116665	118038	-1	1273	0.172190784155214	1374	213	"aromatic amino acid transporter"
BW25113_0113	pdhR	0	118579	119343	1	382	0.0885341074020319	765	61	"pyruvate dehydrogenase complex repressor; autorepressor"
BW25113_0114	aceE	0	119504	122167	1	78	0.0208507089241034	2664	50	"pyruvate dehydrogenase, decarboxylase component E1, thiamine triphosphate-binding"
BW25113_0115	aceF	0	122182	124074	1	36	0.0140845070422535	1893	24	"pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2"
BW25113_0116	lpd	0	124399	125823	1	0	0	1425	0	"lipoamide dehydrogenase, E3 component is part of three enzyme complexes"
BW25113_0117	yacH	0	125894	127747	-1	1195	0.12282804074296	1854	205	"uncharacterized protein"
BW25113_0118	acnB	0	128102	130699	1	52	0.0149636596836255	2598	35	"bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase"
BW25113_0119	yacL	0	130875	131237	1	330	0.146788990825688	363	48	"UPF0231 family protein"
BW25113_0120	speD	0	131275	132069	-1	460	0.118715083798883	795	85	"S-adenosylmethionine decarboxylase"
BW25113_0121	speE	0	132085	132951	-1	292	0.0819462227912932	867	64	"spermidine synthase (putrescine aminopropyltransferase)"
BW25113_0122	yacC	0	133057	133404	-1	282	0.10828025477707	348	34	"PulS_OutS family protein"
BW25113_0123	cueO	0	133570	135120	1	773	0.109598853868195	1551	153	"multicopper oxidase (laccase)"
BW25113_0124	gcd	0	135322	137712	-1	1890	0.122676579925651	2391	264	"glucose dehydrogenase"
BW25113_0125	hpt	0	137918	138454	1	67	0.0578512396694215	537	28	"hypoxanthine phosphoribosyltransferase"
BW25113_0126	can	0	138495	139157	-1	0	0	663	0	"carbonic anhydrase"
BW25113_0127	yadG	0	139266	140192	1	458	0.0922155688622754	927	77	"putative ABC superfamily transporter ATP-binding subunit"
BW25113_0128	yadH	0	140189	140959	1	530	0.106628242074928	771	74	"inner membrane putative ABC superfamily transporter permease"
BW25113_0129	yadI	0	141064	141504	1	293	0.113350125944584	441	45	"putative PTS Enzyme IIA"
BW25113_0130	yadE	0	141568	142797	1	736	0.110207768744354	1230	122	"putative polysaccharide deacetylase lipoprotein"
BW25113_0131	panD	0	142801	143181	-1	133	0.107871720116618	381	37	"aspartate 1-decarboxylase"
BW25113_0132	yadD	0	143455	144357	1	687	0.129151291512915	903	105	"transposase_31 family protein"
BW25113_0133	panC	0	144431	145282	-1	384	0.100391134289439	852	77	"pantothenate synthetase"
BW25113_0134	panB	0	145294	146088	-1	534	0.113128491620112	795	81	"3-methyl-2-oxobutanoate hydroxymethyltransferase"
BW25113_0135	yadC	0	146202	147440	-1	1492	0.14247311827957	1239	159	"putative fimbrial-like adhesin protein"
BW25113_0136	yadK	0	147490	148086	-1	95	0.0390334572490706	597	21	"putative fimbrial-like adhesin protein"
BW25113_0137	yadL	0	148113	148718	-1	428	0.0879120879120879	606	48	"putative fimbrial-like adhesin protein"
BW25113_0138	yadM	0	148730	149299	-1	229	0.0623781676413255	570	32	"putative fimbrial-like adhesin protein"
BW25113_0139	htrE	0	149316	151913	-1	4816	0.226592560923472	2598	530	"putative outer membrane usher protein"
BW25113_0140	yadV	0	151948	152688	-1	1689	0.24287856071964	741	162	"putative periplasmic pilin chaperone"
BW25113_0141	yadN	0	152786	153370	-1	205	0.079696394686907	585	42	"putative fimbrial-like adhesin protein"
BW25113_0142	folK	0	153740	154219	-1	42	0.0138888888888889	480	6	"2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase"
BW25113_0143	pcnB	0	154216	155613	-1	465	0.0857823669579031	1398	108	"poly(A) polymerase"
BW25113_0144	gluQ	0	155673	156599	-1	383	0.11497005988024	927	96	"glutamyl-Q tRNA(Asp) synthetase"
BW25113_0145	dksA	0	156636	157091	-1	201	0.102189781021898	456	42	"transcriptional regulator of rRNA transcription, DnaK suppressor protein"
BW25113_0146	sfsA	0	157269	157973	-1	850	0.17007874015748	705	108	"sugar fermentation stimulation protein A"
BW25113_0147	ligT	0	157988	158518	-1	353	0.125523012552301	531	60	"2'-5' RNA ligase"
